"","school","city","stateProvince","country","schoolcitystate","schoolcitystate2","lon","lat"
"1040","Narbonne","Wilmington","CA","USA","Narbonne, Wilmington, CA","Narbonne, Wilmington, CA",-118.3052275,33.8033866
"1041","Natomas","Sacramento","CA","USA","Natomas, Sacramento, CA","Natomas, Sacramento, CA",-121.5184591,38.6491088
"1042","Nevada Union","Grass Valley","CA","USA","Nevada Union, Grass Valley, CA","Nevada Union, Grass Valley, CA",-121.055778,39.239919
"1043","New Langston-hughes Academy","Los Angeles","CA","USA","New Langston-hughes Academy, Los Angeles, CA","New Langston-hughes Academy, Los Angeles, CA",-118.2922876,33.9407927
"1044","Newbury Park","Newbury Park","CA","USA","Newbury Park, Newbury Park, CA","Newbury Park, Newbury Park, CA",-118.9070887,34.1805403
"1045","Newbury Park","Thousand Oaks","CA","USA","Newbury Park, Thousand Oaks, CA","Newbury Park, Thousand Oaks, CA",-118.9070887,34.1805403
"1046","Newport Harbor","Newport Beach","CA","USA","Newport Harbor, Newport Beach, CA","Newport Harbor, Newport Beach, CA",-117.9298493,33.6188829
"1047","Nipomo","Nipomo","CA","USA","Nipomo, Nipomo, CA","Nipomo, Nipomo, CA",-120.4759986,35.0427547
"1048","Norco","Norco","CA","USA","Norco, Norco, CA","Norco, Norco, CA",-117.5681404,33.9368389
"1049","Norte Vista","Riverside","CA","USA","Norte Vista, Riverside, CA","Norte Vista, Riverside, CA",-117.4732392,33.9500139
"1050","North","Bakersfield","CA","USA","North, Bakersfield, CA","North, Bakersfield, CA",-119.0141564,35.3683627
"1051","North High School","Torrance","CA","USA","North High School, Torrance, CA","North High School, Torrance, CA",-118.3363096,33.8652045
"1052","North Hollywood Senior","North Hollywood","CA","USA","North Hollywood Senior, North Hollywood, CA","North Hollywood Senior, North Hollywood, CA",-118.378157,34.162735
"1053","North Monterey County","Castroville","CA","USA","North Monterey County, Castroville, CA","North Monterey County, Castroville, CA",-121.7586621,36.7715483
"1054","North Salinas","Salinas","CA","USA","North Salinas, Salinas, CA","North Salinas, Salinas, CA",-121.6447735,36.7057988
"1055","Northgate","Walnut Creek","CA","USA","Northgate, Walnut Creek, CA","Northgate, Walnut Creek, CA",-122.0087977,37.9082197
"1056","Northridge Academy","Northridge","CA","USA","Northridge Academy, Northridge, CA","Northridge Academy, Northridge, CA",-118.5244384,34.2452244
"1057","Northview","Covina","CA","USA","Northview, Covina, CA","Northview, Covina, CA",-117.909948,34.0946823
"1058","Norwalk","Norwalk","CA","USA","Norwalk, Norwalk, CA","Norwalk, Norwalk, CA",-118.081733,33.9022367
"1059","Notre Dame","Riverside","CA","USA","Notre Dame, Riverside, CA","Notre Dame, Riverside, CA",-117.3973101,33.9450962
"1060","Notre Dame","San Jose","CA","USA","Notre Dame, San Jose, CA","Notre Dame, San Jose, CA",-121.8825091,37.32829
"1061","Notre Dame","Sherman Oaks","CA","USA","Notre Dame, Sherman Oaks, CA","Notre Dame, Sherman Oaks, CA",-118.4307233,34.1579962
"1062","Novato","Novato","CA","USA","Novato, Novato, CA","Novato, Novato, CA",-122.5697032,38.1074198
"1063","Oak Grove","San Jose","CA","USA","Oak Grove, San Jose, CA","Oak Grove, San Jose, CA",-121.8235216,37.2544233
"1064","Oak Hills","Apple Valley","CA","USA","Oak Hills, Apple Valley, CA","Oak Hills, Apple Valley, CA",-117.4346964,34.4340385
"1065","Oak Hills","Hesperia","CA","USA","Oak Hills, Hesperia, CA","Oak Hills, Hesperia, CA",-117.4346964,34.4340385
"1066","Oak Park","Oak Park","CA","USA","Oak Park, Oak Park, CA","Oak Park, Oak Park, CA",-118.784797,34.182144
"1067","Oak Ridge","El Dorado Hills","CA","USA","Oak Ridge, El Dorado Hills, CA","Oak Ridge, El Dorado Hills, CA",-121.0708647,38.6806577
"1068","Oakdale","Oakdale","CA","USA","Oakdale, Oakdale, CA","Oakdale, Oakdale, CA",-120.8470308,37.7666263
"1069","Oakland","Oakland","CA","USA","Oakland, Oakland, CA","Oakland, Oakland, CA",-122.2711639,37.8043514
"1070","Oakland Technical","Oakland","CA","USA","Oakland Technical, Oakland, CA","Oakland Technical, Oakland, CA",-122.2553996,37.8322997
"1071","Oakmont","Roseville","CA","USA","Oakmont, Roseville, CA","Oakmont, Roseville, CA",-121.2574611,38.7238594
"1072","Oaks Christian","Thousand Oaks","CA","USA","Oaks Christian, Thousand Oaks, CA","Oaks Christian, Thousand Oaks, CA",-118.8101755,34.1528374
"1073","Oaks Christian","Westlake Village","CA","USA","Oaks Christian, Westlake Village, CA","Oaks Christian, Westlake Village, CA",-118.8101755,34.1528374
"1074","Oasis","Oakland","CA","USA","Oasis, Oakland, CA","Oasis, Oakland, CA",-122.267193,37.819865
"1075","Ocean View","Huntington Beach","CA","USA","Ocean View, Huntington Beach, CA","Ocean View, Huntington Beach, CA",-117.9886707,33.7155732
"1076","Oceanside","Oceanside","CA","USA","Oceanside, Oceanside, CA","Oceanside, Oceanside, CA",-117.3794834,33.1958696
"1077","Olympian","Chula Vista","CA","USA","Olympian, Chula Vista, CA","Olympian, Chula Vista, CA",-116.9737158,32.6080704
"1078","Ontario Christian","Ontario","CA","USA","Ontario Christian, Ontario, CA","Ontario Christian, Ontario, CA",-117.666281,34.032776
"1079","Orange","Orange","CA","USA","Orange, Orange, CA","Orange, Orange, CA",-117.8531007,33.7879139
"1080","Orange County Christian School","Anaheim","CA","USA","Orange County Christian School, Anaheim, CA","Orange County Christian School, Anaheim, CA",-118.0026847,33.8232456
"1081","Orange County Of The Arts","Santa Ana","CA","USA","Orange County Of The Arts, Santa Ana, CA","Orange County Of The Arts, Santa Ana, CA",-117.867997,33.754031
"1082","Orange Glen","Escondido","CA","USA","Orange Glen, Escondido, CA","Orange Glen, Escondido, CA",-117.0389894,33.1291797
"1083","Orange Lutheran","Buena Park","CA","USA","Orange Lutheran, Buena Park, CA","Orange Lutheran, Buena Park, CA",-117.8280289,33.8252799
"1084","Orange Lutheran","Hemet","CA","USA","Orange Lutheran, Hemet, CA","Orange Lutheran, Hemet, CA",-117.8280289,33.8252799
"1085","Orange Lutheran","Orange","CA","USA","Orange Lutheran, Orange, CA","Orange Lutheran, Orange, CA",-117.8280289,33.8252799
"1086","Orange Lutheran","Villa Park","CA","USA","Orange Lutheran, Villa Park, CA","Orange Lutheran, Villa Park, CA",-117.8280289,33.8252799
"1087","Otay Ranch","Chula Vista","CA","USA","Otay Ranch, Chula Vista, CA","Otay Ranch, Chula Vista, CA",-117.0841955,32.6400541
"1088","Oxnard","Oxnard","CA","USA","Oxnard, Oxnard, CA","Oxnard, Oxnard, CA",-119.1770516,34.1975048
"1089","Oxnard Union","Oxnard","CA","USA","Oxnard Union, Oxnard, CA","Oxnard Union, Oxnard, CA",-119.0925356,34.1791976
"1090","Pacheco","Los Banos","CA","USA","Pacheco, Los Banos, CA","Pacheco, Los Banos, CA",-120.8166549,37.0684212
"1091","Pacific","San Bernardino","CA","USA","Pacific, San Bernardino, CA","Pacific, San Bernardino, CA",-117.2300255,34.1285762
"1092","Pacific Grove","Pacific Grove","CA","USA","Pacific Grove, Pacific Grove, CA","Pacific Grove, Pacific Grove, CA",-121.9166215,36.6177374
"1093","Pacifica","Garden Grove","CA","USA","Pacifica, Garden Grove, CA","Pacifica, Garden Grove, CA",-118.0139693,33.7820333
"1094","Pacifica","Oxnard","CA","USA","Pacifica, Oxnard, CA","Pacifica, Oxnard, CA",-119.1369081,34.164042
"1095","Palisades","Pacific Palisades","CA","USA","Palisades, Pacific Palisades, CA","Palisades, Pacific Palisades, CA",-118.5155901,34.0356331
"1096","Palm Desert","Palm Desert","CA","USA","Palm Desert, Palm Desert, CA","Palm Desert, Palm Desert, CA",-116.3744556,33.7222445
"1097","Palm Springs","Palm Springs","CA","USA","Palm Springs, Palm Springs, CA","Palm Springs, Palm Springs, CA",-116.5452921,33.8302961
"1098","Palma","Monterey","CA","USA","Palma, Monterey, CA","Palma, Monterey, CA",-121.904427,36.538739
"1099","Palma","Salinas","CA","USA","Palma, Salinas, CA","Palma, Salinas, CA",-121.6645774,36.6656925
"1100","Palmdale","Palmdale","CA","USA","Palmdale, Palmdale, CA","Palmdale, Palmdale, CA",-118.1196256,34.5908506
"1101","Palo Alto","Palo Alto","CA","USA","Palo Alto, Palo Alto, CA","Palo Alto, Palo Alto, CA",-122.1430195,37.4418834
"1102","Paloma Valley","Menifee","CA","USA","Paloma Valley, Menifee, CA","Paloma Valley, Menifee, CA",-117.159199,33.6514119
"1103","Palos Verdes","Palos Verdes Peninsula","CA","USA","Palos Verdes, Palos Verdes Peninsula, CA","Palos Verdes, Palos Verdes Peninsula, CA",-118.3492165,33.7683844
"1104","Palos Verdes Peninsula","Palos Verdes Peninsula","CA","USA","Palos Verdes Peninsula, Palos Verdes Peninsula, CA","Palos Verdes Peninsula, Palos Verdes Peninsula, CA",-118.3492165,33.7683844
"1105","Paraclete","Lancaster","CA","USA","Paraclete, Lancaster, CA","Paraclete, Lancaster, CA",-118.1838587,34.6481903
"1106","Paradise Senior","Paradise","CA","USA","Paradise Senior, Paradise, CA","Paradise Senior, Paradise, CA",-121.590498,39.746334
"1107","Paramount","Paramount","CA","USA","Paramount, Paramount, CA","Paramount, Paramount, CA",-118.1597911,33.8894598
"1108","Pasadena","Pasadena","CA","USA","Pasadena, Pasadena, CA","Pasadena, Pasadena, CA",-118.1445155,34.1477849
"1109","Paso Robles","Paso Robles","CA","USA","Paso Robles, Paso Robles, CA","Paso Robles, Paso Robles, CA",-120.6545022,35.6368759
"1110","Patterson","Patterson","CA","USA","Patterson, Patterson, CA","Patterson, Patterson, CA",-121.1299128,37.4716546
"1111","Petaluma","Petaluma","CA","USA","Petaluma, Petaluma, CA","Petaluma, Petaluma, CA",-122.6366524,38.232417
"1112","Phillips Exeter Academy","Santa Rosa","CA","USA","Phillips Exeter Academy, Santa Rosa, CA","Phillips Exeter Academy, Santa Rosa, CA",-122.7577691,38.4486474
"1113","Phineas Banning Senior","Wilmington","CA","USA","Phineas Banning Senior, Wilmington, CA","Phineas Banning Senior, Wilmington, CA",-118.2613419,33.7940119
"1114","Piedmont","Oakland","CA","USA","Piedmont, Oakland, CA","Piedmont, Oakland, CA",-122.2526269,37.8268107
"1115","Piedmont Hills","San Jose","CA","USA","Piedmont Hills, San Jose, CA","Piedmont Hills, San Jose, CA",-121.8519912,37.3999246
"1116","Pinole Valley","Pinole","CA","USA","Pinole Valley, Pinole, CA","Pinole Valley, Pinole, CA",-122.2692956,37.9815544
"1117","Pitt-Ant","Antioch","CA","USA","Pitt-Ant, Antioch, CA","Pitt-Ant, Antioch, CA",-121.805789,38.0049214
"1118","Pitt-Ant","Pittsburg","CA","USA","Pitt-Ant, Pittsburg, CA","Pitt-Ant, Pittsburg, CA",-121.8846806,38.0279762
"1119","Pittsburg","Antioch","CA","USA","Pittsburg, Antioch, CA","Pittsburg, Antioch, CA",-121.8846806,38.0279762
"1120","Pittsburg","Pittsburg","CA","USA","Pittsburg, Pittsburg, CA","Pittsburg, Pittsburg, CA",-121.8846806,38.0279762
"1121","Pittsburg Senior","Pittsburg","CA","USA","Pittsburg Senior, Pittsburg, CA","Pittsburg Senior, Pittsburg, CA",-121.8880182,38.0095157
"1122","Placer","Auburn","CA","USA","Placer, Auburn, CA","Placer, Auburn, CA",-121.0768901,38.8965654
"1123","Pleasant Grove","Elk Grove","CA","USA","Pleasant Grove, Elk Grove, CA","Pleasant Grove, Elk Grove, CA",-121.3412107,38.4261201
"1124","Pleasant Valley","Chico","CA","USA","Pleasant Valley, Chico, CA","Pleasant Valley, Chico, CA",-121.8169426,39.7607544
"1125","Pleasant Valley Baptist","Chico","CA","USA","Pleasant Valley Baptist, Chico, CA","Pleasant Valley Baptist, Chico, CA",-121.8930522,39.7930128
"1126","Point Loma","San Diego","CA","USA","Point Loma, San Diego, CA","Point Loma, San Diego, CA",-117.2466838,32.70003
"1127","Polytechnic","Long Beach","CA","USA","Polytechnic, Long Beach, CA","Polytechnic, Long Beach, CA",-118.1829363,33.7868045
"1128","Polytechnic","Riverside","CA","USA","Polytechnic, Riverside, CA","Polytechnic, Riverside, CA",-117.3685345,33.952157
"1129","Polytechnic School","Pasadena","CA","USA","Polytechnic School, Pasadena, CA","Polytechnic School, Pasadena, CA",-118.1285402,34.1347607
"1130","Pomona Senior","Pomona","CA","USA","Pomona Senior, Pomona, CA","Pomona Senior, Pomona, CA",-117.7482488,34.0424458
"1131","Ponderosa","Shingle Springs","CA","USA","Ponderosa, Shingle Springs, CA","Ponderosa, Shingle Springs, CA",-120.9418472,38.6742656
"1132","Poway","Poway","CA","USA","Poway, Poway, CA","Poway, Poway, CA",-117.0358646,32.9628232
"1133","Quartz Hill","Lancaster","CA","USA","Quartz Hill, Lancaster, CA","Quartz Hill, Lancaster, CA",-118.2181308,34.6452645
"1134","Ramona","Ramona","CA","USA","Ramona, Ramona, CA","Ramona, Ramona, CA",-116.8792553,33.0413604
"1135","Rancho Alamitos","Garden Grove","CA","USA","Rancho Alamitos, Garden Grove, CA","Rancho Alamitos, Garden Grove, CA",-117.986376,33.7986909
"1136","Rancho Bernardo","San Diego","CA","USA","Rancho Bernardo, San Diego, CA","Rancho Bernardo, San Diego, CA",-117.0805825,33.0335773
"1137","Rancho Buena Vista","Vista","CA","USA","Rancho Buena Vista, Vista, CA","Rancho Buena Vista, Vista, CA",-117.2473528,33.1632373
"1138","Rancho Cotate","Rohnert Park","CA","USA","Rancho Cotate, Rohnert Park, CA","Rancho Cotate, Rohnert Park, CA",-122.6832885,38.3410818
"1139","Rancho Cucamonga","Rancho Cucamonga","CA","USA","Rancho Cucamonga, Rancho Cucamonga, CA","Rancho Cucamonga, Rancho Cucamonga, CA",-117.5931084,34.1063989
"1140","Rancho Verde","Moreno Valley","CA","USA","Rancho Verde, Moreno Valley, CA","Rancho Verde, Moreno Valley, CA",-117.2083723,33.8613638
"1141","Red Bluff","West Tehama County","CA","USA","Red Bluff, West Tehama County, CA","Red Bluff, West Tehama County, CA",-122.2358302,40.1784886
"1142","Redlands","Redlands","CA","USA","Redlands, Redlands, CA","Redlands, Redlands, CA",-117.1825381,34.0555693
"1143","Redlands East Valley","Redlands","CA","USA","Redlands East Valley, Redlands, CA","Redlands East Valley, Redlands, CA",-117.1289571,34.0618322
"1144","Redondo","Redondo Beach","CA","USA","Redondo, Redondo Beach, CA","Redondo, Redondo Beach, CA",-118.3884078,33.8491816
"1145","Redwood","Larkspur","CA","USA","Redwood, Larkspur, CA","Redwood, Larkspur, CA",-122.524948,37.938251
"1146","Redwood","Visalia","CA","USA","Redwood, Visalia, CA","Redwood, Visalia, CA",-119.3261634,36.3138153
"1147","Reedley","Reedley","CA","USA","Reedley, Reedley, CA","Reedley, Reedley, CA",-119.4504029,36.5963395
"1148","Reseda Senior","Reseda","CA","USA","Reseda Senior, Reseda, CA","Reseda Senior, Reseda, CA",-118.535383,34.2118479
"1149","Rialto","Rialto","CA","USA","Rialto, Rialto, CA","Rialto, Rialto, CA",-117.3703235,34.1064001
"1150","Richard Gahr","Cerritos","CA","USA","Richard Gahr, Cerritos, CA","Richard Gahr, Cerritos, CA",-118.0942995,33.8735578
"1151","Richmond","Richmond","CA","USA","Richmond, Richmond, CA","Richmond, Richmond, CA",-122.383404,37.9252463
"1152","Ridgeview","Bakersfield","CA","USA","Ridgeview, Bakersfield, CA","Ridgeview, Bakersfield, CA",-119.0585518,35.2775082
"1153","Rim Of The World Senior","Lake Arrowhead","CA","USA","Rim Of The World Senior, Lake Arrowhead, CA","Rim Of The World Senior, Lake Arrowhead, CA",-117.2071878,34.2319486
"1154","Rio Americano","Sacramento","CA","USA","Rio Americano, Sacramento, CA","Rio Americano, Sacramento, CA",-121.3568261,38.5779837
"1155","Rio Hondo Preparatory School","Arcadia","CA","USA","Rio Hondo Preparatory School, Arcadia, CA","Rio Hondo Preparatory School, Arcadia, CA",-118.0204432,34.0995352
"1156","Rio Linda","Rio Linda","CA","USA","Rio Linda, Rio Linda, CA","Rio Linda, Rio Linda, CA",-121.4485654,38.6910138
"1157","Rio Mesa","Oxnard","CA","USA","Rio Mesa, Oxnard, CA","Rio Mesa, Oxnard, CA",-119.1441402,34.2530799
"1158","River Valley","Yuba City","CA","USA","River Valley, Yuba City, CA","River Valley, Yuba City, CA",-121.6595023,39.1380757
"1159","Rocklin","Rocklin","CA","USA","Rocklin, Rocklin, CA","Rocklin, Rocklin, CA",-121.2357828,38.7907339
"1160","Ronald E. McNair","Stockton","CA","USA","Ronald E. McNair, Stockton, CA","Ronald E. McNair, Stockton, CA",-121.3000349,38.0416516
"1161","Roosevelt","Fresno","CA","USA","Roosevelt, Fresno, CA","Roosevelt, Fresno, CA",-119.7310213,36.72262
"1162","Roseville","Roseville","CA","USA","Roseville, Roseville, CA","Roseville, Roseville, CA",-121.2843565,38.7539675
"1163","Royal","Simi Valley","CA","USA","Royal, Simi Valley, CA","Royal, Simi Valley, CA",-118.7593439,34.2626225
"1164","Ruben S. Ayala","Chino","CA","USA","Ruben S. Ayala, Chino, CA","Ruben S. Ayala, Chino, CA",-117.7315209,33.9945799
"1165","Sacramento","Sacramento","CA","USA","Sacramento, Sacramento, CA","Sacramento, Sacramento, CA",-121.4943996,38.5815719
"1166","Sacred Heart Prep","Atherton","CA","USA","Sacred Heart Prep, Atherton, CA","Sacred Heart Prep, Atherton, CA",-122.1964641,37.4491878
"1167","Saddleback","Bakersfield","CA","USA","Saddleback, Bakersfield, CA","Saddleback, Bakersfield, CA",-119.0822299,35.3598821
"1168","Saddleback","Mission Viejo","CA","USA","Saddleback, Mission Viejo, CA","Saddleback, Mission Viejo, CA",-117.6652524,33.6019091
"1169","Saint Helena","Saint Helena","CA","USA","Saint Helena, Saint Helena, CA","Saint Helena, Saint Helena, CA",-122.4703868,38.5052429
"1170","Salesian","Los Angeles","CA","USA","Salesian, Los Angeles, CA","Salesian, Los Angeles, CA",-118.2159976,34.0330229
"1171","Salesian","Richmond","CA","USA","Salesian, Richmond, CA","Salesian, Richmond, CA",-122.3408469,37.9529766
"1172","San Benito","Hollister","CA","USA","San Benito, Hollister, CA","San Benito, Hollister, CA",-121.4016021,36.8524545
"1173","San Bernardino","San Bernardino","CA","USA","San Bernardino, San Bernardino, CA","San Bernardino, San Bernardino, CA",-117.2897652,34.1083449
"1174","San Clemente","San Clemente","CA","USA","San Clemente, San Clemente, CA","San Clemente, San Clemente, CA",-117.6396508,33.4408347
"1175","San Diego Cima","San Diego","CA","USA","San Diego Cima, San Diego, CA","San Diego Cima, San Diego, CA",-116.5366575,32.9395851
"1176","San Diego International Studies","San Diego","CA","USA","San Diego International Studies, San Diego, CA","San Diego International Studies, San Diego, CA",-117.1531757,32.7200025
"1177","San Diego Scpa","San Diego","CA","USA","San Diego Scpa, San Diego, CA","San Diego Scpa, San Diego, CA",-117.0485543,32.6798237
"1178","San Dimas","San Dimas","CA","USA","San Dimas, San Dimas, CA","San Dimas, San Dimas, CA",-117.8067257,34.1066756
"1179","San Fernando Senior","San Fernando","CA","USA","San Fernando Senior, San Fernando, CA","San Fernando Senior, San Fernando, CA",-118.4340131,34.2808734
"1180","San Francisco Christian School","San Francisco","CA","USA","San Francisco Christian School, San Francisco, CA","San Francisco Christian School, San Francisco, CA",-122.4477291,37.7100657
"1181","San Francisco University","San Francisco","CA","USA","San Francisco University, San Francisco, CA","San Francisco University, San Francisco, CA",-122.4507187,37.7765643
"1182","San Gorgonio","San Bernardino","CA","USA","San Gorgonio, San Bernardino, CA","San Gorgonio, San Bernardino, CA",-117.2349312,34.1286203
"1183","San Jacinto","San Jacinto","CA","USA","San Jacinto, San Jacinto, CA","San Jacinto, San Jacinto, CA",-116.958635,33.7839084
"1184","San Joaquin Memorial","Fresno","CA","USA","San Joaquin Memorial, Fresno, CA","San Joaquin Memorial, Fresno, CA",-119.779043,36.762479
"1185","San Juan Hills","San Juan Capistrano","CA","USA","San Juan Hills, San Juan Capistrano, CA","San Juan Hills, San Juan Capistrano, CA",-117.6241397,33.5023077
"1186","San Leandro","San Leandro","CA","USA","San Leandro, San Leandro, CA","San Leandro, San Leandro, CA",-122.1568554,37.7257663
"1187","San Lorenzo","San Lorenzo","CA","USA","San Lorenzo, San Lorenzo, CA","San Lorenzo, San Lorenzo, CA",-122.1267054,37.6793968
"1188","San Lorenzo Valley","Felton","CA","USA","San Lorenzo Valley, Felton, CA","San Lorenzo Valley, Felton, CA",-122.1064668,37.1200192
"1189","San Luis Obispo","San Luis Obispo","CA","USA","San Luis Obispo, San Luis Obispo, CA","San Luis Obispo, San Luis Obispo, CA",-120.6596156,35.2827524
"1190","San Marcos","San Marcos","CA","USA","San Marcos, San Marcos, CA","San Marcos, San Marcos, CA",-117.1661449,33.1433723
"1191","San Marcos Senior","Santa Barbara","CA","USA","San Marcos Senior, Santa Barbara, CA","San Marcos Senior, Santa Barbara, CA",-119.7871595,34.4375512
"1192","San Marin","Novato","CA","USA","San Marin, Novato, CA","San Marin, Novato, CA",-122.6012201,38.1226414
"1193","San Marino","San Marino","CA","USA","San Marino, San Marino, CA","San Marino, San Marino, CA",-118.1076645,34.1280542
"1194","San Mateo","San Mateo","CA","USA","San Mateo, San Mateo, CA","San Mateo, San Mateo, CA",-122.3255254,37.5629917
"1195","San Pasqual","Escondido","CA","USA","San Pasqual, Escondido, CA","San Pasqual, Escondido, CA",-117.0331022,33.0808864
"1196","San Pedro Senior","San Pedro","CA","USA","San Pedro Senior, San Pedro, CA","San Pedro Senior, San Pedro, CA",-118.2866925,33.7366926
"1197","San Ramon Valley","Danville","CA","USA","San Ramon Valley, Danville, CA","San Ramon Valley, Danville, CA",-121.9245556,37.7892023
"1198","Sanger","Sanger","CA","USA","Sanger, Sanger, CA","Sanger, Sanger, CA",-119.5559652,36.708006
"1199","Santa Ana","Santa Ana","CA","USA","Santa Ana, Santa Ana, CA","Santa Ana, Santa Ana, CA",-117.856483,33.752773
"1200","Santa Barbara Senior","Santa Barbara","CA","USA","Santa Barbara Senior, Santa Barbara, CA","Santa Barbara Senior, Santa Barbara, CA",-119.701455,34.4264073
"1201","Santa Clara","Santa Clara","CA","USA","Santa Clara, Santa Clara, CA","Santa Clara, Santa Clara, CA",-121.9552356,37.3541079
"1202","Santa Clarita Christian School","Canyon Country","CA","USA","Santa Clarita Christian School, Canyon Country, CA","Santa Clarita Christian School, Canyon Country, CA",-118.464505,34.4131474
"1203","Santa Cruz","Santa Cruz","CA","USA","Santa Cruz, Santa Cruz, CA","Santa Cruz, Santa Cruz, CA",-122.0307963,36.9741171
"1204","Santa Fe","Santa Fe Springs","CA","USA","Santa Fe, Santa Fe Springs, CA","Santa Fe, Santa Fe Springs, CA",-118.0853451,33.9472359
"1205","Santa Fe Christian Schools","Solana Beach","CA","USA","Santa Fe Christian Schools, Solana Beach, CA","Santa Fe Christian Schools, Solana Beach, CA",-117.25835,32.992085
"1206","Santa Margarita Catholic","Rancho Santa Margarita","CA","USA","Santa Margarita Catholic, Rancho Santa Margarita, CA","Santa Margarita Catholic, Rancho Santa Margarita, CA",-117.5802061,33.643375
"1207","Santa Margarita Catholic","Trabuco Canyon","CA","USA","Santa Margarita Catholic, Trabuco Canyon, CA","Santa Margarita Catholic, Trabuco Canyon, CA",-117.5802061,33.643375
"1208","Santa Maria","Santa Maria","CA","USA","Santa Maria, Santa Maria, CA","Santa Maria, Santa Maria, CA",-120.4357191,34.9530337
"1209","Santa Monica","Santa Monica","CA","USA","Santa Monica, Santa Monica, CA","Santa Monica, Santa Monica, CA",-118.4970483,34.0093925
"1210","Santa Rosa","Santa Rosa","CA","USA","Santa Rosa, Santa Rosa, CA","Santa Rosa, Santa Rosa, CA",-122.7140548,38.440429
"1211","Santa Rosa Christian School","Santa Rosa","CA","USA","Santa Rosa Christian School, Santa Rosa, CA","Santa Rosa Christian School, Santa Rosa, CA",-122.6748214,38.4832672
"1212","Santa Ynez Valley Union","Santa Ynez","CA","USA","Santa Ynez Valley Union, Santa Ynez, CA","Santa Ynez Valley Union, Santa Ynez, CA",-120.1004616,34.6089277
"1213","Santana","Santee","CA","USA","Santana, Santee, CA","Santana, Santee, CA",-116.9627827,32.8654505
"1214","Santee","Los Angeles","CA","USA","Santee, Los Angeles, CA","Santee, Los Angeles, CA",-118.257695,34.0358612
"1215","Santiago","Corona","CA","USA","Santiago, Corona, CA","Santiago, Corona, CA",-117.5471817,33.8353194
"1216","Saratoga","Saratoga","CA","USA","Saratoga, Saratoga, CA","Saratoga, Saratoga, CA",-122.0230146,37.2638324
"1217","Saugus","Santa Clarita","CA","USA","Saugus, Santa Clarita, CA","Saugus, Santa Clarita, CA",-118.5404007,34.4135244
"1218","Scotts Valley","Scotts Valley","CA","USA","Scotts Valley, Scotts Valley, CA","Scotts Valley, Scotts Valley, CA",-122.0146841,37.0510595
"1219","Scripps Ranch","San Diego","CA","USA","Scripps Ranch, San Diego, CA","Scripps Ranch, San Diego, CA",-117.0676398,32.8932137
"1220","Seaside","Seaside","CA","USA","Seaside, Seaside, CA","Seaside, Seaside, CA",-121.822098,36.6149217
"1221","Serra","San Diego","CA","USA","Serra, San Diego, CA","Serra, San Diego, CA",-117.104945,32.825762
"1222","Serrano","Death Valley","CA","USA","Serrano, Death Valley, CA","Serrano, Death Valley, CA",-116.9325408,36.5322649
"1223","Serrano","Death Valley","CA","USA","Serrano, Death Valley, CA","Serrano, Death Valley, CA",-116.9325408,36.5322649
"1224","Servite","Anaheim","CA","USA","Servite, Anaheim, CA","Servite, Anaheim, CA",-117.9491796,33.8467963
"1225","Sheldon","Oroville","CA","USA","Sheldon, Oroville, CA","Sheldon, Oroville, CA",-121.556359,39.5137752
"1226","Sheldon","Sacramento","CA","USA","Sheldon, Sacramento, CA","Sheldon, Sacramento, CA",-121.3466714,38.4557976
"1227","Sierra Canyon","Chatsworth","CA","USA","Sierra Canyon, Chatsworth, CA","Sierra Canyon, Chatsworth, CA",-118.58566,34.2709553
"1228","Sierra Canyon","Thousand Oaks","CA","USA","Sierra Canyon, Thousand Oaks, CA","Sierra Canyon, Thousand Oaks, CA",-118.58566,34.2709553
"1229","Silver Valley","Yucaipa","CA","USA","Silver Valley, Yucaipa, CA","Silver Valley, Yucaipa, CA",-117.1833737,34.4952745
"1230","Silverado","Victorville","CA","USA","Silverado, Victorville, CA","Silverado, Victorville, CA",-117.3747234,34.5030391
"1231","Simi Valley","Simi Valley","CA","USA","Simi Valley, Simi Valley, CA","Simi Valley, Simi Valley, CA",-118.781482,34.2694474
"1232","Skyline","Oakland","CA","USA","Skyline, Oakland, CA","Skyline, Oakland, CA",-122.1618747,37.7980038
"1233","Sonoma Valley","Sonoma","CA","USA","Sonoma Valley, Sonoma, CA","Sonoma Valley, Sonoma, CA",-122.4974823,38.3668797
"1234","Sonora","La Habra","CA","USA","Sonora, La Habra, CA","Sonora, La Habra, CA",-117.9254494,33.9274663
"1235","Sonora","Sonora","CA","USA","Sonora, Sonora, CA","Sonora, Sonora, CA",-120.3821724,37.9829496
"1236","Soquel","Soquel","CA","USA","Soquel, Soquel, CA","Soquel, Soquel, CA",-121.9566267,36.9880057
"1237","South","Torrance","CA","USA","South, Torrance, CA","South, Torrance, CA",-118.3406288,33.8358492
"1238","South East","South Gate","CA","USA","South East, South Gate, CA","South East, South Gate, CA",-118.222748,33.9449169
"1239","South Gate Senior","South Gate","CA","USA","South Gate Senior, South Gate, CA","South Gate Senior, South Gate, CA",-118.1857188,33.9426749
"1240","South Hills","Covina","CA","USA","South Hills, Covina, CA","South Hills, Covina, CA",-117.8836204,34.0622178
"1241","South Pasadena Senior","South Pasadena","CA","USA","South Pasadena Senior, South Pasadena, CA","South Pasadena Senior, South Pasadena, CA",-118.155511,34.1139953
